timestamp,temperature,humidity
2024-01-27 08:00:02,811,56
2024-01-27 08:00:12,812,51
2024-01-27 08:00:22,812,54
2024-01-27 08:00:31,810,57
2024-01-27 08:00:41,812,53
2024-01-27 08:00:50,812,57
2024-01-27 08:01:00,810,58
2024-01-27 08:01:10,812,54
2024-01-27 08:01:20,812,58
2024-01-27 08:01:30,812,55
2024-01-27 08:01:39,812,51
2024-01-27 08:01:48,812,46
2024-01-27 08:01:58,811,51
2024-01-27 08:02:07,812,52
2024-01-27 08:02:17,812,56
2024-01-27 08:02:26,812,61
2024-01-27 08:02:35,812,58
2024-01-27 08:02:45,810,60
2024-01-27 08:02:54,808,59
2024-01-27 08:03:04,808,62
2024-01-27 08:03:14,810,65
2024-01-27 08:03:24,812,69
2024-01-27 08:03:33,810,66
2024-01-27 08:03:42,812,71
2024-01-27 08:03:52,812,67
2024-01-27 08:04:02,811,66
2024-01-27 08:04:11,812,64
2024-01-27 08:04:21,812,63
2024-01-27 08:04:31,812,66
2024-01-27 08:04:40,812,62
2024-01-27 08:04:50,810,61
2024-01-27 08:04:59,808,65
2024-01-27 08:05:09,806,66
2024-01-27 08:05:18,806,65
2024-01-27 08:05:28,807,70
2024-01-27 08:05:38,812,72
2024-01-27 08:05:47,811,68
2024-01-27 08:05:57,812,72
2024-01-27 08:06:06,812,70
2024-01-27 08:06:16,812,75
2024-01-27 08:06:25,810,80
2024-01-27 08:06:34,812,80
2024-01-27 08:06:44,810,85
2024-01-27 08:06:54,812,85
2024-01-27 08:07:03,810,89
2024-01-27 08:07:12,809,91
2024-01-27 08:07:22,810,93
2024-01-27 08:07:31,808,93
2024-01-27 08:07:40,807,91
2024-01-27 08:07:50,812,93
2024-01-27 08:08:00,812,93
2024-01-27 08:08:09,812,93
2024-01-27 08:08:19,812,88
2024-01-27 08:08:29,812,93
2024-01-27 08:08:39,812,89
2024-01-27 08:08:49,812,86
2024-01-27 08:08:59,812,83
2024-01-27 08:09:09,811,87
2024-01-27 08:09:18,812,83
2024-01-27 08:09:28,810,84
2024-01-27 08:09:38,808,80
2024-01-27 08:09:48,808,76
2024-01-27 08:09:57,809,81
2024-01-27 08:10:07,810,85
2024-01-27 08:10:16,810,90
2024-01-27 08:10:26,812,91
2024-01-27 08:10:35,812,87
2024-01-27 08:10:44,812,91
2024-01-27 08:10:53,812,93
2024-01-27 08:11:03,812,93
2024-01-27 08:11:12,811,93
2024-01-27 08:11:22,809,93
2024-01-27 08:11:32,809,93
2024-01-27 08:11:41,812,90
2024-01-27 08:11:50,812,92
2024-01-27 08:11:59,812,91
2024-01-27 08:12:08,810,92
2024-01-27 08:12:18,812,89
2024-01-27 08:12:28,812,90
2024-01-27 08:12:37,812,87
2024-01-27 08:12:46,812,92
2024-01-27 08:12:56,812,93
2024-01-27 08:13:05,812,89
2024-01-27 08:13:14,811,92
2024-01-27 08:13:23,812,93
2024-01-27 08:13:33,812,90
2024-01-27 08:13:42,812,88
2024-01-27 08:13:51,812,92
2024-01-27 08:14:01,812,92
