timestamp,temperature,humidity
2024-01-30 08:00:08,812,30
2024-01-30 08:00:17,812,34
2024-01-30 08:00:27,812,39
2024-01-30 08:00:37,811,42
2024-01-30 08:00:47,812,47
2024-01-30 08:00:56,811,45
2024-01-30 08:01:06,812,43
2024-01-30 08:01:15,812,46
2024-01-30 08:01:24,812,48
2024-01-30 08:01:33,812,51
2024-01-30 08:01:42,812,53
2024-01-30 08:01:52,812,51
2024-01-30 08:02:02,812,46
2024-01-30 08:02:12,811,43
2024-01-30 08:02:21,812,43
2024-01-30 08:02:30,812,47
2024-01-30 08:02:39,812,52
2024-01-30 08:02:49,812,50
2024-01-30 08:02:58,812,45
2024-01-30 08:03:08,812,45
2024-01-30 08:03:17,810,47
2024-01-30 08:03:27,810,46
2024-01-30 08:03:36,812,42
2024-01-30 08:03:46,812,43
2024-01-30 08:03:56,812,41
2024-01-30 08:04:05,812,41
2024-01-30 08:04:14,812,43
2024-01-30 08:04:24,812,46
2024-01-30 08:04:34,812,46
2024-01-30 08:04:44,812,41
2024-01-30 08:04:53,812,36
2024-01-30 08:05:03,812,36
2024-01-30 08:05:12,812,35
2024-01-30 08:05:21,810,38
2024-01-30 08:05:30,812,35
2024-01-30 08:05:40,812,37
2024-01-30 08:05:50,811,42
2024-01-30 08:06:00,812,44
2024-01-30 08:06:09,812,42
2024-01-30 08:06:18,812,44
2024-01-30 08:06:27,812,49
2024-01-30 08:06:37,812,52
2024-01-30 08:06:46,812,47
2024-01-30 08:06:56,812,48
2024-01-30 08:07:06,812,50
2024-01-30 08:07:15,812,48
2024-01-30 08:07:24,812,49
2024-01-30 08:07:34,812,54
2024-01-30 08:07:44,812,57
2024-01-30 08:07:53,812,62
2024-01-30 08:08:02,812,60
2024-01-30 08:08:12,812,55
2024-01-30 08:08:21,811,51
2024-01-30 08:08:31,812,50
2024-01-30 08:08:41,812,53
2024-01-30 08:08:51,812,58
2024-01-30 08:09:01,811,55
2024-01-30 08:09:10,809,57
2024-01-30 08:09:20,812,62
2024-01-30 08:09:29,812,59
2024-01-30 08:09:38,812,56
2024-01-30 08:09:47,811,55
