timestamp,scanned_products
2024-01-29 00:00:27,13647
2024-01-29 00:00:57,13647
2024-01-29 00:01:26,13648
2024-01-29 00:01:54,13650
2024-01-29 00:02:24,13652
2024-01-29 00:02:52,13653
2024-01-29 00:03:23,13655
2024-01-29 00:03:55,13656
2024-01-29 00:04:25,13657
2024-01-29 00:04:56,13658
2024-01-29 00:05:23,13658
2024-01-29 00:05:52,13660
2024-01-29 00:06:21,13661
2024-01-29 00:06:51,13662
2024-01-29 00:07:22,13664
2024-01-29 00:07:54,13665
2024-01-29 00:08:23,13667
2024-01-29 00:08:55,13667
2024-01-29 00:09:26,13669
2024-01-29 00:09:57,13670
2024-01-29 00:10:27,13670
2024-01-29 00:10:57,13672
2024-01-29 00:11:26,13673
2024-01-29 00:11:54,13673
2024-01-29 00:12:25,13673
2024-01-29 00:12:55,13675
2024-01-29 00:13:27,13676
2024-01-29 00:13:58,13677
2024-01-29 00:14:27,13678
2024-01-29 00:14:57,13678
2024-01-29 00:15:27,13680
2024-01-29 00:15:56,13680
2024-01-29 00:16:27,13680
2024-01-29 00:16:55,13682
2024-01-29 00:17:24,13684
2024-01-29 00:17:52,13684
2024-01-29 00:18:20,13686
2024-01-29 00:18:51,13686
2024-01-29 00:19:19,13688
2024-01-29 00:19:47,13688
2024-01-29 00:20:16,13688
2024-01-29 00:20:44,13688
2024-01-29 00:21:15,13690
2024-01-29 00:21:44,13691
2024-01-29 00:22:15,13692
2024-01-29 00:22:47,13694
2024-01-29 00:23:17,13696
2024-01-29 00:23:49,13697
2024-01-29 00:24:20,13698
2024-01-29 00:24:49,13699
2024-01-29 00:25:16,13700
2024-01-29 00:25:48,13701
2024-01-29 00:26:19,13701
2024-01-29 00:26:47,13701
2024-01-29 00:27:18,13701
2024-01-29 00:27:45,13703
2024-01-29 00:28:16,13704
2024-01-29 00:28:47,13706
2024-01-29 00:29:15,13707
2024-01-29 00:29:45,13707
2024-01-29 00:30:12,13708
2024-01-29 00:30:41,13708
2024-01-29 00:31:12,13708
2024-01-29 00:31:43,13710
2024-01-29 00:32:15,13712
2024-01-29 00:32:45,13714
2024-01-29 00:33:14,13714
2024-01-29 00:33:46,13715
2024-01-29 00:34:14,13717
2024-01-29 00:34:42,13718
2024-01-29 00:35:11,13719
2024-01-29 00:35:41,13720
2024-01-29 00:36:13,13720
2024-01-29 00:36:41,13722
2024-01-29 00:37:12,13722
2024-01-29 00:37:43,13724
2024-01-29 00:38:10,13725
2024-01-29 00:38:42,13725
2024-01-29 00:39:10,13726
2024-01-29 00:39:37,13726
2024-01-29 00:40:08,13726
2024-01-29 00:40:40,13727
2024-01-29 00:41:10,13728
2024-01-29 00:41:42,13729
2024-01-29 00:42:11,13730
2024-01-29 00:42:42,13731
2024-01-29 00:43:13,13731
2024-01-29 00:43:44,13731
2024-01-29 00:44:11,13732
2024-01-29 00:44:41,13732
2024-01-29 00:45:10,13732
2024-01-29 00:45:38,13732
2024-01-29 00:46:09,13733
2024-01-29 00:46:39,13735
2024-01-29 00:47:10,13737
2024-01-29 00:47:42,13737
2024-01-29 00:48:09,13739
2024-01-29 00:48:36,13741
2024-01-29 00:49:05,13741
2024-01-29 00:49:36,13742
2024-01-29 00:50:08,13743
2024-01-29 00:50:37,13744
2024-01-29 00:51:08,13745
2024-01-29 00:51:35,13745
2024-01-29 00:52:04,13746
2024-01-29 00:52:35,13746
2024-01-29 00:53:04,13748
2024-01-29 00:53:31,13750
2024-01-29 00:54:00,13750
2024-01-29 00:54:30,13751
2024-01-29 00:55:01,13752
2024-01-29 00:55:33,13752
2024-01-29 00:56:00,13754
2024-01-29 00:56:30,13755
2024-01-29 00:56:59,13757
2024-01-29 00:57:28,13759
2024-01-29 00:57:55,13759
2024-01-29 00:58:23,13760
2024-01-29 00:58:53,13761
2024-01-29 00:59:23,13762
2024-01-29 00:59:55,13764
2024-01-29 01:00:24,13764
2024-01-29 01:00:56,13766
2024-01-29 01:01:23,13767
2024-01-29 01:01:54,13768
2024-01-29 01:02:26,13769
2024-01-29 01:02:55,13771
2024-01-29 01:03:25,13772
2024-01-29 01:03:53,13774
2024-01-29 01:04:23,13776
2024-01-29 01:04:52,13777
2024-01-29 01:05:23,13777
2024-01-29 01:05:52,13778
2024-01-29 01:06:23,13778
2024-01-29 01:06:55,13779
2024-01-29 01:07:26,13779
2024-01-29 01:07:54,13780
2024-01-29 01:08:22,13780
2024-01-29 01:08:52,13782
2024-01-29 01:09:23,13782
2024-01-29 01:09:54,13784
2024-01-29 01:10:26,13786
2024-01-29 01:10:53,13788
2024-01-29 01:11:20,13790
2024-01-29 01:11:51,13792
2024-01-29 01:12:22,13794
2024-01-29 01:12:52,13795
2024-01-29 01:13:22,13796
2024-01-29 01:13:54,13798
2024-01-29 01:14:22,13799
2024-01-29 01:14:49,13801
2024-01-29 01:15:21,13802
2024-01-29 01:15:51,13803
2024-01-29 01:16:22,13804
2024-01-29 01:16:52,13804
2024-01-29 01:17:20,13805
2024-01-29 01:17:48,13807
2024-01-29 01:18:18,13808
2024-01-29 01:18:45,13809
2024-01-29 01:19:16,13811
2024-01-29 01:19:47,13811
2024-01-29 01:20:14,13811
2024-01-29 01:20:42,13812
2024-01-29 01:21:13,13813
2024-01-29 01:21:44,13815
2024-01-29 01:22:16,13816
2024-01-29 01:22:47,13816
2024-01-29 01:23:14,13818
2024-01-29 01:23:41,13818
2024-01-29 01:24:08,13818
2024-01-29 01:24:39,13818
2024-01-29 01:25:08,13820
2024-01-29 01:25:36,13822
2024-01-29 01:26:05,13823
2024-01-29 01:26:33,13825
2024-01-29 01:27:00,13826
2024-01-29 01:27:32,13828
2024-01-29 01:27:59,13829
2024-01-29 01:28:26,13831
2024-01-29 01:28:53,13831
2024-01-29 01:29:22,13831
2024-01-29 01:29:50,13832
2024-01-29 01:30:22,13832
2024-01-29 01:30:53,13832
2024-01-29 01:31:21,13834
2024-01-29 01:31:50,13834
2024-01-29 01:32:19,13836
2024-01-29 01:32:46,13838
2024-01-29 01:33:15,13838
2024-01-29 01:33:45,13838
2024-01-29 01:34:13,13840
2024-01-29 01:34:44,13841
2024-01-29 01:35:16,13841
2024-01-29 01:35:45,13841
2024-01-29 01:36:13,13842
2024-01-29 01:36:44,13844
2024-01-29 01:37:14,13844
2024-01-29 01:37:46,13845
2024-01-29 01:38:17,13847
2024-01-29 01:38:47,13848
2024-01-29 01:39:17,13848
2024-01-29 01:39:44,13848
2024-01-29 01:40:14,13850
2024-01-29 01:40:45,13852
2024-01-29 01:41:15,13854
2024-01-29 01:41:44,13854
2024-01-29 01:42:12,13855
2024-01-29 01:42:39,13856
2024-01-29 01:43:07,13856
2024-01-29 01:43:34,13858
2024-01-29 01:44:03,13858
2024-01-29 01:44:31,13860
2024-01-29 01:45:03,13860
2024-01-29 01:45:31,13861
2024-01-29 01:46:03,13861
2024-01-29 01:46:33,13862
2024-01-29 01:47:05,13862
2024-01-29 01:47:36,13864
2024-01-29 01:48:06,13864
2024-01-29 01:48:33,13864
2024-01-29 01:49:03,13866
2024-01-29 01:49:33,13868
2024-01-29 01:50:02,13868
2024-01-29 01:50:33,13870
2024-01-29 01:51:00,13872
2024-01-29 01:51:27,13872
2024-01-29 01:51:57,13873
2024-01-29 01:52:28,13874
2024-01-29 01:52:59,13876
2024-01-29 01:53:28,13878
2024-01-29 01:54:00,13879
2024-01-29 01:54:28,13881
2024-01-29 01:54:58,13882
2024-01-29 01:55:30,13883
2024-01-29 01:56:01,13885
2024-01-29 01:56:32,13885
2024-01-29 01:57:01,13886
2024-01-29 01:57:31,13888
2024-01-29 01:58:00,13890
2024-01-29 01:58:30,13890
2024-01-29 01:58:59,13890
2024-01-29 01:59:27,13891
2024-01-29 01:59:57,13892
2024-01-29 02:00:28,13893
2024-01-29 02:00:57,13894
2024-01-29 02:01:28,13896
2024-01-29 02:01:58,13896
2024-01-29 02:02:27,13898
2024-01-29 02:02:59,13900
2024-01-29 02:03:28,13901
2024-01-29 02:04:00,13902
2024-01-29 02:04:29,13902
2024-01-29 02:04:59,13902
2024-01-29 02:05:27,13902
2024-01-29 02:05:58,13904
2024-01-29 02:06:29,13906
2024-01-29 02:06:58,13906
2024-01-29 02:07:30,13906
2024-01-29 02:07:58,13907
2024-01-29 02:08:26,13908
2024-01-29 02:08:58,13908
2024-01-29 02:09:30,13909
2024-01-29 02:09:58,13911
2024-01-29 02:10:29,13912
2024-01-29 02:10:58,13914
2024-01-29 02:11:27,13915
2024-01-29 02:11:59,13917
2024-01-29 02:12:26,13919
2024-01-29 02:12:56,13921
2024-01-29 02:13:27,13922
2024-01-29 02:13:59,13924
2024-01-29 02:14:31,13925
2024-01-29 02:15:01,13926
2024-01-29 02:15:28,13928
2024-01-29 02:15:59,13930
2024-01-29 02:16:30,13931
2024-01-29 02:17:02,13932
2024-01-29 02:17:33,13932
2024-01-29 02:18:05,13934
2024-01-29 02:18:34,13936
2024-01-29 02:19:03,13937
2024-01-29 02:19:31,13937
2024-01-29 02:20:00,13938
2024-01-29 02:20:30,13938
2024-01-29 02:21:01,13939
2024-01-29 02:21:32,13940
2024-01-29 02:22:03,13942
2024-01-29 02:22:35,13943
2024-01-29 02:23:03,13945
2024-01-29 02:23:35,13945
2024-01-29 02:24:02,13946
2024-01-29 02:24:32,13947
2024-01-29 02:25:01,13949
2024-01-29 02:25:32,13949
2024-01-29 02:26:00,13949
2024-01-29 02:26:32,13950
2024-01-29 02:27:00,13950
2024-01-29 02:27:28,13952
2024-01-29 02:27:56,13952
2024-01-29 02:28:25,13953
2024-01-29 02:28:57,13953
2024-01-29 02:29:24,13954
2024-01-29 02:29:53,13956
2024-01-29 02:30:21,13958
2024-01-29 02:30:51,13959
2024-01-29 02:31:22,13961
2024-01-29 02:31:50,13962
2024-01-29 02:32:20,13962
2024-01-29 02:32:52,13963
2024-01-29 02:33:20,13965
2024-01-29 02:33:50,13966
2024-01-29 02:34:21,13967
2024-01-29 02:34:50,13969
2024-01-29 02:35:21,13970
2024-01-29 02:35:49,13972
2024-01-29 02:36:18,13972
2024-01-29 02:36:50,13974
2024-01-29 02:37:22,13975
2024-01-29 02:37:49,13975
2024-01-29 02:38:17,13977
2024-01-29 02:38:48,13979
2024-01-29 02:39:17,13981
2024-01-29 02:39:48,13983
2024-01-29 02:40:16,13985
2024-01-29 02:40:43,13985
2024-01-29 02:41:12,13987
2024-01-29 02:41:44,13987
2024-01-29 02:42:11,13989
2024-01-29 02:42:42,13989
2024-01-29 02:43:10,13991
2024-01-29 02:43:41,13991
2024-01-29 02:44:10,13991
2024-01-29 02:44:39,13993
2024-01-29 02:45:11,13995
2024-01-29 02:45:41,13995
2024-01-29 02:46:12,13996
2024-01-29 02:46:44,13996
2024-01-29 02:47:16,13997
2024-01-29 02:47:46,13998
2024-01-29 02:48:17,13998
2024-01-29 02:48:46,14000
2024-01-29 02:49:17,14001
2024-01-29 02:49:47,14002
2024-01-29 02:50:16,14002
2024-01-29 02:50:44,14002
2024-01-29 02:51:14,14004
2024-01-29 02:51:46,14005
2024-01-29 02:52:14,14007
2024-01-29 02:52:45,14007
2024-01-29 02:53:14,14008
2024-01-29 02:53:46,14009
2024-01-29 02:54:18,14010
2024-01-29 02:54:46,14011
2024-01-29 02:55:15,14013
2024-01-29 02:55:46,14013
2024-01-29 02:56:16,14013
2024-01-29 02:56:43,14015
2024-01-29 02:57:12,14017
2024-01-29 02:57:41,14019
2024-01-29 02:58:13,14021
2024-01-29 02:58:44,14023
2024-01-29 02:59:16,14024
2024-01-29 02:59:45,14026
2024-01-29 03:00:14,14026
2024-01-29 03:00:41,14027
2024-01-29 03:01:09,14027
2024-01-29 03:01:37,14028
2024-01-29 03:02:08,14029
2024-01-29 03:02:40,14029
2024-01-29 03:03:07,14030
2024-01-29 03:03:35,14031
2024-01-29 03:04:06,14032
2024-01-29 03:04:35,14034
2024-01-29 03:05:03,14036
2024-01-29 03:05:34,14037
2024-01-29 03:06:01,14038
2024-01-29 03:06:28,14039
2024-01-29 03:06:57,14040
2024-01-29 03:07:25,14042
2024-01-29 03:07:56,14042
2024-01-29 03:08:27,14042
2024-01-29 03:08:57,14042
2024-01-29 03:09:28,14042
2024-01-29 03:10:00,14044
2024-01-29 03:10:30,14044
2024-01-29 03:11:02,14045
2024-01-29 03:11:33,14045
2024-01-29 03:12:03,14046
2024-01-29 03:12:34,14047
2024-01-29 03:13:06,14049
2024-01-29 03:13:36,14051
2024-01-29 03:14:04,14052
2024-01-29 03:14:35,14054
2024-01-29 03:15:07,14056
2024-01-29 03:15:36,14056
2024-01-29 03:16:08,14058
2024-01-29 03:16:37,14058
2024-01-29 03:17:05,14058
2024-01-29 03:17:32,14060
2024-01-29 03:18:00,14061
2024-01-29 03:18:31,14061
2024-01-29 03:18:58,14063
2024-01-29 03:19:28,14064
2024-01-29 03:19:57,14066
2024-01-29 03:20:25,14066
2024-01-29 03:20:56,14066
2024-01-29 03:21:24,14068
2024-01-29 03:21:52,14068
2024-01-29 03:22:19,14069
2024-01-29 03:22:46,14069
2024-01-29 03:23:13,14071
2024-01-29 03:23:44,14072
2024-01-29 03:24:14,14072
2024-01-29 03:24:46,14073
2024-01-29 03:25:18,14074
2024-01-29 03:25:47,14076
2024-01-29 03:26:19,14076
2024-01-29 03:26:46,14077
2024-01-29 03:27:18,14077
2024-01-29 03:27:48,14079
2024-01-29 03:28:16,14081
2024-01-29 03:28:48,14082
2024-01-29 03:29:16,14084
2024-01-29 03:29:46,14084
2024-01-29 03:30:18,14085
2024-01-29 03:30:49,14085
2024-01-29 03:31:21,14086
2024-01-29 03:31:49,14088
2024-01-29 03:32:18,14088
2024-01-29 03:32:49,14089
2024-01-29 03:33:18,14089
2024-01-29 03:33:50,14091
2024-01-29 03:34:22,14093
2024-01-29 03:34:49,14093
2024-01-29 03:35:18,14093
2024-01-29 03:35:49,14093
2024-01-29 03:36:16,14095
2024-01-29 03:36:44,14096
2024-01-29 03:37:12,14097
2024-01-29 03:37:39,14099
2024-01-29 03:38:09,14099
2024-01-29 03:38:41,14099
2024-01-29 03:39:10,14100
2024-01-29 03:39:42,14102
2024-01-29 03:40:10,14104
2024-01-29 03:40:38,14106
2024-01-29 03:41:08,14107
2024-01-29 03:41:40,14109
2024-01-29 03:42:10,14110
2024-01-29 03:42:42,14111
2024-01-29 03:43:09,14112
2024-01-29 03:43:37,14112
